TIMESTAMP;IR;RED;BPM;Avg_BPM;MILLIS
0;111213;28395;0.00;0;857
0;111355;28429;0.00;0;898
0;111858;28472;0.00;0;938
0;112237;28498;0.00;0;978
0;112428;28496;0.00;0;1018
1;112512;28503;0.00;0;1058
1;112518;28507;0.00;0;1098
1;112558;28516;0.00;0;1138
1;112623;28536;0.00;0;1178
1;112800;28539;0.00;0;1218
1;112929;28546;0.00;0;1259
1;113016;28555;0.00;0;1299
1;113044;28558;0.00;0;1339
1;113077;28537;0.00;0;1379
1;113094;28528;0.00;0;1419
1;113159;28546;0.00;0;1459
1;112962;28494;0.00;0;1499
1;111876;28377;0.00;0;1539
1;111138;28364;0.00;0;1580
1;111356;28413;0.00;0;1620
1;111845;28451;0.00;0;1660
1;112145;28469;0.00;0;1700
1;112385;28468;0.00;0;1740
1;112452;28463;0.00;0;1780
1;112491;28474;0.00;0;1820
1;112497;28480;0.00;0;1860
1;112565;28487;0.00;0;1900
1;112671;28490;0.00;0;1941
1;112794;28499;0.00;0;1981
2;112885;28514;0.00;0;2021
2;112924;28514;0.00;0;2061
2;112990;28498;0.00;0;2101
2;113035;28498;0.00;0;2141
2;112819;28450;0.00;0;2181
2;111720;28357;0.00;0;2221
2;111196;28347;0.00;0;2261
2;111507;28412;0.00;0;2301
2;112007;28440;0.00;0;2342
2;112291;28463;0.00;0;2382
2;112496;28481;0.00;0;2422
2;112605;28469;0.00;0;2462
2;112608;28461;0.00;0;2502
2;112680;28481;0.00;0;2542
2;112790;28503;0.00;0;2582
2;112904;28513;0.00;0;2622
2;112999;28525;0.00;0;2663
2;113075;28525;0.00;0;2703
2;113129;28530;0.00;0;2743
2;113153;28527;0.00;0;2783
2;113185;28503;0.00;0;2823
2;112752;28395;0.00;0;2863
2;111422;28323;0.00;0;2903
2;110956;28334;0.00;0;2943
2;111311;28378;0.00;0;2983
3;111767;28416;0.00;0;3023
3;112092;28447;0.00;0;3064
3;112386;28466;0.00;0;3104
3;112527;28464;0.00;0;3144
3;112588;28458;0.00;0;3184
3;112629;28452;0.00;0;3224
3;112763;28485;0.00;0;3264
3;112891;28505;0.00;0;3304
3;113002;28512;0.00;0;3344
3;113071;28518;0.00;0;3384
3;113139;28527;0.00;0;3425
3;113193;28529;0.00;0;3465
3;113167;28503;0.00;0;3505
3;112433;28365;0.00;0;3545
3;111281;28301;0.00;0;3585
3;111206;28340;0.00;0;3625
3;111693;28399;0.00;0;3665
3;112066;28433;0.00;0;3705
3;112331;28460;0.00;0;3745
3;112543;28469;0.00;0;3786
3;112630;28475;0.00;0;3826
