"08:57:01.972 -> IR=115023, BPM=10.26, Avg BPM=49"
"08:57:01.992 -> IR=115030, BPM=10.26, Avg BPM=49"
"08:57:02.012 -> IR=115057, BPM=10.26, Avg BPM=49"
"08:57:02.032 -> IR=115076, BPM=10.26, Avg BPM=49"
"08:57:02.052 -> IR=115104, BPM=10.26, Avg BPM=49"
"08:57:02.072 -> IR=115114, BPM=10.26, Avg BPM=49"
"08:57:02.092 -> IR=115131, BPM=10.26, Avg BPM=49"
"08:57:02.112 -> IR=115132, BPM=103.45, Avg BPM=52"
"08:57:02.132 -> IR=115146, BPM=103.45, Avg BPM=52"
"08:57:02.152 -> IR=115161, BPM=103.45, Avg BPM=52"
"08:57:02.172 -> IR=115172, BPM=103.45, Avg BPM=52"
"08:57:02.192 -> IR=115173, BPM=103.45, Avg BPM=52"
"08:57:02.212 -> IR=115178, BPM=103.45, Avg BPM=52"
"08:57:02.232 -> IR=115186, BPM=103.45, Avg BPM=52"
"08:57:02.252 -> IR=115190, BPM=103.45, Avg BPM=52"
"08:57:02.272 -> IR=115181, BPM=103.45, Avg BPM=52"
"08:57:02.304 -> IR=115162, BPM=103.45, Avg BPM=52"
"08:57:02.322 -> IR=115008, BPM=103.45, Avg BPM=52"
"08:57:02.338 -> IR=114737, BPM=103.45, Avg BPM=52"
"08:57:02.355 -> IR=114571, BPM=103.45, Avg BPM=52"
"08:57:02.373 -> IR=114562, BPM=103.45, Avg BPM=52"
"08:57:02.393 -> IR=114622, BPM=103.45, Avg BPM=52"
"08:57:02.413 -> IR=114704, BPM=103.45, Avg BPM=52"
"08:57:02.433 -> IR=114772, BPM=103.45, Avg BPM=52"
"08:57:02.453 -> IR=114829, BPM=103.45, Avg BPM=52"
"08:57:02.473 -> IR=114882, BPM=103.45, Avg BPM=52"
"08:57:02.493 -> IR=114950, BPM=103.45, Avg BPM=52"
"08:57:02.513 -> IR=114995, BPM=103.45, Avg BPM=52"
"08:57:02.533 -> IR=114997, BPM=103.45, Avg BPM=52"
"08:57:02.553 -> IR=114976, BPM=103.45, Avg BPM=52"
"08:57:02.573 -> IR=114959, BPM=103.45, Avg BPM=52"
"08:57:02.593 -> IR=114933, BPM=103.45, Avg BPM=52"
"08:57:02.613 -> IR=114943, BPM=103.45, Avg BPM=52"
"08:57:02.633 -> IR=114956, BPM=103.45, Avg BPM=52"
"08:57:02.653 -> IR=114996, BPM=103.45, Avg BPM=52"
"08:57:02.673 -> IR=115035, BPM=103.45, Avg BPM=52"
"08:57:02.693 -> IR=115049, BPM=103.45, Avg BPM=52"
"08:57:02.713 -> IR=115079, BPM=103.45, Avg BPM=52"
"08:57:02.733 -> IR=115094, BPM=103.45, Avg BPM=52"
"08:57:02.753 -> IR=115115, BPM=103.45, Avg BPM=52"
"08:57:02.773 -> IR=115109, BPM=103.45, Avg BPM=52"
"08:57:02.804 -> IR=115115, BPM=88.11, Avg BPM=68"
"08:57:02.822 -> IR=115117, BPM=88.11, Avg BPM=68"
"08:57:02.839 -> IR=115128, BPM=88.11, Avg BPM=68"
"08:57:02.856 -> IR=115149, BPM=88.11, Avg BPM=68"
"08:57:02.873 -> IR=115172, BPM=88.11, Avg BPM=68"
"08:57:02.893 -> IR=115205, BPM=88.11, Avg BPM=68"
"08:57:02.913 -> IR=115216, BPM=88.11, Avg BPM=68"
"08:57:02.934 -> IR=115199, BPM=88.11, Avg BPM=68"
"08:57:02.955 -> IR=115097, BPM=88.11, Avg BPM=68"
"08:57:02.973 -> IR=114834, BPM=88.11, Avg BPM=68"
"08:57:02.993 -> IR=114619, BPM=88.11, Avg BPM=68"
"08:57:03.013 -> IR=114550, BPM=88.11, Avg BPM=68"
"08:57:03.033 -> IR=114596, BPM=88.11, Avg BPM=68"
"08:57:03.053 -> IR=114672, BPM=88.11, Avg BPM=68"
"08:57:03.073 -> IR=114748, BPM=88.11, Avg BPM=68"
"08:57:03.093 -> IR=114815, BPM=88.11, Avg BPM=68"
"08:57:03.113 -> IR=114885, BPM=88.11, Avg BPM=68"
"08:57:03.133 -> IR=114956, BPM=88.11, Avg BPM=68"
"08:57:03.153 -> IR=115007, BPM=88.11, Avg BPM=68"
"08:57:03.173 -> IR=115025, BPM=88.11, Avg BPM=68"
"08:57:03.193 -> IR=115020, BPM=88.11, Avg BPM=68"
"08:57:03.213 -> IR=114988, BPM=88.11, Avg BPM=68"
"08:57:03.233 -> IR=114937, BPM=88.11, Avg BPM=68"
"08:57:03.253 -> IR=114919, BPM=88.11, Avg BPM=68"
"08:57:03.273 -> IR=114967, BPM=88.11, Avg BPM=68"
"08:57:03.304 -> IR=115015, BPM=88.11, Avg BPM=68"
"08:57:03.321 -> IR=115067, BPM=88.11, Avg BPM=68"
"08:57:03.338 -> IR=115097, BPM=88.11, Avg BPM=68"
"08:57:03.355 -> IR=115112, BPM=88.11, Avg BPM=68"
"08:57:03.373 -> IR=115120, BPM=88.11, Avg BPM=68"
"08:57:03.394 -> IR=115126, BPM=88.11, Avg BPM=68"
"08:57:03.414 -> IR=115129, BPM=96.62, Avg BPM=82"
"08:57:03.434 -> IR=115124, BPM=96.62, Avg BPM=82"
"08:57:03.455 -> IR=115110, BPM=96.62, Avg BPM=82"
"08:57:03.474 -> IR=115110, BPM=96.62, Avg BPM=82"
"08:57:03.495 -> IR=115111, BPM=96.62, Avg BPM=82"
"08:57:03.515 -> IR=115105, BPM=96.62, Avg BPM=82"
"08:57:03.534 -> IR=115103, BPM=96.62, Avg BPM=82"
"08:57:03.556 -> IR=115101, BPM=96.62, Avg BPM=82"
"08:57:03.574 -> IR=115086, BPM=96.62, Avg BPM=82"
"08:57:03.594 -> IR=115024, BPM=96.62, Avg BPM=82"
"08:57:03.614 -> IR=114782, BPM=96.62, Avg BPM=82"
"08:57:03.635 -> IR=114531, BPM=96.62, Avg BPM=82"
"08:57:03.656 -> IR=114402, BPM=96.62, Avg BPM=82"
"08:57:03.674 -> IR=114432, BPM=96.62, Avg BPM=82"
"08:57:03.694 -> IR=114508, BPM=96.62, Avg BPM=82"
"08:57:03.715 -> IR=114590, BPM=96.62, Avg BPM=82"
"08:57:03.734 -> IR=114652, BPM=96.62, Avg BPM=82"
"08:57:03.756 -> IR=114743, BPM=96.62, Avg BPM=82"
"08:57:03.774 -> IR=114827, BPM=96.62, Avg BPM=82"
"08:57:03.804 -> IR=114887, BPM=96.62, Avg BPM=82"
"08:57:03.821 -> IR=114902, BPM=96.62, Avg BPM=82"
"08:57:03.838 -> IR=114874, BPM=96.62, Avg BPM=82"
"08:57:03.855 -> IR=114819, BPM=96.62, Avg BPM=82"
"08:57:03.876 -> IR=114777, BPM=96.62, Avg BPM=82"
"08:57:03.894 -> IR=114746, BPM=96.62, Avg BPM=82"
"08:57:03.914 -> IR=114766, BPM=96.62, Avg BPM=82"
"08:57:03.934 -> IR=114800, BPM=96.62, Avg BPM=82"
"08:57:03.954 -> IR=114850, BPM=96.62, Avg BPM=82"
"08:57:03.974 -> IR=114912, BPM=96.62, Avg BPM=82"
"08:57:03.994 -> IR=114962, BPM=96.62, Avg BPM=82"
"08:57:04.014 -> IR=115011, BPM=96.62, Avg BPM=82"
"08:57:04.034 -> IR=115043, BPM=96.62, Avg BPM=82"
"08:57:04.054 -> IR=115065, BPM=96.62, Avg BPM=82"
"08:57:04.074 -> IR=115074, BPM=96.62, Avg BPM=82"
"08:57:04.094 -> IR=115099, BPM=96.62, Avg BPM=82"
"08:57:04.114 -> IR=115088, BPM=96.62, Avg BPM=82"
"08:57:04.134 -> IR=115098, BPM=83.33, Avg BPM=92"
"08:57:04.154 -> IR=115102, BPM=83.33, Avg BPM=92"
"08:57:04.174 -> IR=115119, BPM=83.33, Avg BPM=92"
"08:57:04.194 -> IR=115111, BPM=83.33, Avg BPM=92"
"08:57:04.214 -> IR=115000, BPM=83.33, Avg BPM=92"
"08:57:04.234 -> IR=114718, BPM=83.33, Avg BPM=92"
"08:57:04.254 -> IR=114440, BPM=83.33, Avg BPM=92"
"08:57:04.274 -> IR=114309, BPM=83.33, Avg BPM=92"
"08:57:04.309 -> IR=114303, BPM=83.33, Avg BPM=92"
"08:57:04.327 -> IR=114384, BPM=83.33, Avg BPM=92"
"08:57:04.344 -> IR=114473, BPM=83.33, Avg BPM=92"
"08:57:04.360 -> IR=114559, BPM=83.33, Avg BPM=92"
"08:57:04.377 -> IR=114633, BPM=83.33, Avg BPM=92"
"08:57:04.395 -> IR=114722, BPM=83.33, Avg BPM=92"
"08:57:04.415 -> IR=114776, BPM=83.33, Avg BPM=92"
"08:57:04.435 -> IR=114796, BPM=83.33, Avg BPM=92"
"08:57:04.455 -> IR=114758, BPM=83.33, Avg BPM=92"
"08:57:04.475 -> IR=114706, BPM=83.33, Avg BPM=92"
"08:57:04.495 -> IR=114637, BPM=83.33, Avg BPM=92"
"08:57:04.515 -> IR=114601, BPM=83.33, Avg BPM=92"
"08:57:04.535 -> IR=114611, BPM=83.33, Avg BPM=92"
"08:57:04.555 -> IR=114651, BPM=83.33, Avg BPM=92"
"08:57:04.575 -> IR=114695, BPM=83.33, Avg BPM=92"
"08:57:04.595 -> IR=114752, BPM=83.33, Avg BPM=92"
