2025;1002;0
1968;858;0
1910;804;0
1841;745;0
1793;731;0
1732;693;0
1712;688;0
1686;665;0
1678;672;0
1671;656;0
1675;668;0
1677;654;0
1686;663;0
1691;656;0
1697;671;0
1703;656;0
1713;674;0
1731;661;0
1776;693;0
1855;704;0
1985;759;0
2141;794;0
2307;871;0
2450;909;0
2573;976;0
2624;987;0
2635;1029;0
2583;995;0
2493;983;0
2369;922;0
2243;899;0
2103;819;0
1993;794;0
1899;741;0
1827;727;0
1766;688;0
1744;692;0
1727;665;0
1717;677;0
1712;658;0
1723;675;0
1715;656;1
1712;673;1
1712;656;1
1721;674;1
1722;658;1
1739;681;1
1751;667;1
1776;691;1
1799;684;1
1827;705;1
1847;701;1
1869;721;1
1878;710;1
1876;725;1
1872;715;1
1867;726;1
1849;706;1
1835;711;1
1810;691;1
1799;705;1
1780;682;1
1775;688;1
1762;669;1
1746;687;1
1745;663;1
1745;681;1
1739;663;1
1733;677;1
1728;666;1
1727;678;1
1719;657;1
1719;669;1
1711;653;1
1712;666;1
1710;653;1
1712;667;1
1723;656;1
1742;672;1
1783;673;1
1872;714;1
1973;736;1
2126;800;1
2274;835;1
2404;900;1
2502;929;1
2557;976;1
2547;961;1
2496;970;1
2399;918;1
2288;899;1
2162;838;1
2053;811;1
1938;753;1
1863;733;1
1798;697;1
1763;691;1
1739;665;1
1729;673;1
1727;659;1
1731;672;1
1723;660;1
1727;673;1
1725;656;1
1727;671;1
1729;657;1
1742;676;1
1748;669;1
1774;688;1
1789;681;1
1818;698;1
1840;695;1
1863;716;1
1871;707;1
1874;720;1
1872;709;1
1872;720;1
1853;703;1
1843;710;1
1824;694;1
1813;705;1
1802;688;1
1794;698;1
1788;679;1
1783;688;1
1771;673;1
1760;678;1
1749;663;1
1746;675;1
1743;666;1
1744;674;1
1730;658;1
1728;671;1
1713;660;1
1719;663;1
1713;655;1
1731;671;1
1773;671;1
1853;702;1
1967;727;1
2125;791;1
2275;839;2
2425;907;2
2528;942;2
2602;983;2
2597;981;2
2542;987;2
2444;944;2
2330;915;2
2202;851;2
2089;818;2
1979;770;2
1901;746;2
1840;711;2
1807;704;2
1776;688;2
1776;690;2
1766;678;2
1774;687;2
1764;674;2
1766;685;2
1751;669;2
1751;677;2
1746;663;2
1757;674;2
1767;674;2
1787;688;2
1810;688;2
1839;705;2
1856;704;2
1879;716;2
1887;709;2
1893;721;2
1888;715;2
1879;722;2
1866;708;2
1850;714;2
1826;694;2
1808;697;2
1790;687;2
1775;687;2
1758;671;2
1744;677;2
1731;663;2
1728;668;2
1722;657;2
1715;663;2
1717;654;2
1715;661;2
1713;655;2
1715;663;2
1718;656;2
1719;658;2
1719;656;2
1737;669;2
1774;662;2
1856;704;2
1972;737;2
2133;796;2
2296;848;2
2449;912;2
2549;949;2
2625;990;2
2623;990;2
2573;993;2
2474;945;2
2353;923;2
2230;871;2
2114;832;2
2000;783;2
1920;753;2
1854;718;2
1809;704;2
1783;687;2
1776;687;2
1776;677;2
1780;688;2
1770;675;2
1764;683;2
1751;667;2
1744;665;2
1744;663;2
1745;671;2
1748;667;2
1770;680;2
1783;682;2
1808;693;2
1833;698;2
1858;707;2
1867;706;2
1877;720;2
1872;713;2
1876;713;2
1840;703;2
1821;704;2
1803;691;2
1788;688;2
1767;677;2
1759;682;2
1748;669;2
1741;673;2
1728;667;3
1723;663;3
1712;657;3
1711;658;3
1695;651;3
1696;656;3
1681;648;3
1684;650;3
1683;651;3
1686;655;3
1683;645;3
1680;652;3
1697;647;3
1712;656;3
1744;666;3
1808;688;3
1906;717;3
2047;765;3
2208;815;3
2368;879;3
2497;927;3
2586;969;3
2608;982;3
2567;987;3
2473;951;3
2361;925;3
2225;866;3
2104;823;3
1981;773;3
1886;737;3
1815;702;3
1744;679;3
1705;661;3
1693;656;3
1681;646;3
1685;650;3
1683;645;3
1687;650;3
1680;640;3
1679;647;3
1670;641;3
1678;649;3
1679;646;3
1694;655;3
1709;654;3
1731;661;3
1755;667;3
1784;682;3
1807;688;3
1819;696;3
1830;693;3
1823;699;3
1810;691;3
1797;688;3
1776;683;3
1759;679;3
1734;666;3
1719;662;3
1701;656;3
1697;656;3
1677;650;3
1666;643;3
1653;640;3
1653;640;3
1648;635;3
1645;635;3
1638;630;3
1634;629;3
1635;631;3
1646;637;3
1639;634;3
1647;640;3
1642;635;3
1653;637;3
1654;639;3
1657;640;3
1657;641;3
1679;650;3
1717;656;3
1808;686;3
1931;725;3
2086;774;3
2241;829;3
2391;888;3
2491;929;3
2533;958;3
2533;960;3
2473;949;3
2362;911;3
2239;878;3
2098;821;3
1968;777;3
1857;726;3
1776;691;3
1708;666;3
1674;649;3
1645;635;3
1646;633;3
1643;635;3
1650;635;3
1651;637;4
1659;640;4
1660;638;4
1664;639;4
1658;638;4
1669;640;4
1680;646;4
1701;650;4
1712;656;4
1739;659;4
1750;669;4
1773;673;4
1789;679;4
1803;686;4
1795;688;4
1802;688;4
1789;682;4
1775;679;4
1751;673;4
1734;666;4
1718;658;4
1712;656;4
1712;650;4
1691;647;4
1680;643;4
1674;641;4
1662;639;4
1657;637;4
1648;637;4
1665;635;4
1650;635;4
1655;634;4
1649;635;4
1657;631;4
1650;638;4
1649;631;4
1646;631;4
1646;633;4
1644;629;4
1648;631;4
1648;637;4
1680;639;4
1745;657;4
1855;693;4
1993;745;4
2161;795;4
2320;854;4
2455;910;4
2539;945;4
2576;973;4
2535;969;4
2454;950;4
2338;908;4
2221;858;4
2086;816;4
1963;765;4
1862;726;4
1781;695;4
1726;672;4
1696;655;4
1677;653;4
1674;641;4
1666;646;4
1675;640;4
1666;643;4
1672;640;4
1664;643;4
1674;642;4
1679;646;4
1685;646;4
1701;655;4
1730;664;4
1763;671;4
1780;676;4
1797;686;4
1813;688;4
1819;693;4
1823;695;4
1818;694;4
1803;688;4
1781;687;4
1763;677;4
1739;666;4
1715;656;4
1690;653;4
1680;642;4
1665;639;4
1659;635;4
1648;638;4
1648;629;4
1648;636;4
1653;630;4
1654;639;4
1662;635;4
1653;639;4
1659;631;4
1652;635;4
1658;631;4
1649;635;4
1650;631;4
1651;638;5
1667;637;5
1697;649;5
1769;663;5
1878;705;5
2032;752;5
2198;814;5
2364;868;5
2487;923;5
2576;956;5
2579;976;5
2533;971;5
