4013;1710;0
4034;1597;0
4006;1557;0
4009;1520;0
4015;1520;0
4008;1491;0
4007;1488;0
4009;1477;0
3998;1485;0
3371;1381;0
2971;1264;0
2715;1150;0
2528;1072;0
2406;992;0
2330;950;0
2295;917;0
2288;912;0
2304;899;0
2329;919;0
2363;921;0
2395;941;0
2427;946;0
2474;972;0
2527;982;0
2614;1019;0
2717;1054;0
2841;1111;0
2978;1151;0
3120;1203;0
3264;1248;0
3394;1302;0
3493;1327;0
3541;1351;0
3541;1358;0
3483;1359;0
3364;1325;0
3230;1299;0
3081;1242;0
2925;1200;0
2797;1136;0
2673;1093;0
2559;1039;0
2465;999;0
2379;945;0
2310;929;0
2260;891;1
2228;885;1
2219;861;1
2220;874;1
2230;862;1
2256;885;1
2288;882;1
2322;910;1
2359;911;1
2389;937;1
2423;933;1
2449;955;1
2468;950;1
2474;971;1
2480;964;1
2473;976;1
2463;959;1
2449;966;1
2442;947;1
2414;953;1
2384;927;1
2363;933;1
2333;907;1
2314;915;1
2295;891;1
2275;900;1
2271;880;1
2265;891;1
2258;871;1
2256;881;1
2261;873;1
2266;889;1
2258;871;1
2256;885;1
2251;867;1
2253;887;1
2250;866;1
2250;881;1
2247;866;1
2240;880;1
2230;859;1
2227;877;1
2222;854;1
2226;871;1
2233;857;1
2254;880;1
2295;881;1
2371;919;1
2478;938;1
2606;1008;1
2733;1043;1
2875;1106;1
3007;1145;1
3136;1207;1
3229;1232;1
3283;1275;1
3280;1268;1
3220;1278;1
3108;1232;1
2985;1209;1
2850;1140;1
2710;1105;1
2579;1035;1
2452;996;1
2341;934;1
2249;909;1
2170;848;1
2109;838;1
2064;804;1
2037;809;1
2032;784;1
2045;805;1
2070;789;1
2106;817;1
2143;815;1
2177;848;1
2210;848;1
2249;877;1
2277;870;1
2300;895;1
2313;885;1
2327;912;1
2343;903;1
2352;924;1
2357;911;1
2353;926;1
2334;898;1
2318;912;1
2288;885;1
2257;891;1
2234;865;1
2215;866;1
2190;846;1
2167;848;1
2153;830;1
2134;837;1
2112;816;1
2109;829;1
2109;807;1
2101;819;1
2094;806;2
2089;821;2
2082;800;2
2078;813;2
2062;795;2
2055;807;2
2054;785;2
2063;802;2
2064;790;2
2069;810;2
2085;795;2
2100;819;2
2109;807;2
2128;831;2
2160;822;2
2224;859;2
2313;871;2
2433;931;2
2576;967;2
2711;1043;2
2843;1077;2
2939;1141;2
3008;1154;2
3042;1190;2
3029;1183;2
2987;1193;2
2896;1150;2
2798;1134;2
2678;1072;2
2557;1040;2
2445;973;2
2335;943;2
2228;883;2
2145;858;2
2070;810;2
2003;799;2
1957;763;2
1937;765;2
1936;745;2
1945;765;2
1974;755;2
2029;785;2
2075;789;2
2128;821;2
2189;832;2
2246;866;2
2288;875;2
2321;903;2
2345;898;2
2357;915;2
